IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 9.98702
2 , Nodo 2 , 9.87017
3 , Nodo 3 , 9.84513
4 , Nodo 4 , 9.62348
5 , Nodo 5 , 9.58546
6 , Nodo 6 , 9.56691
7 , Nodo 7 , 9.54836
8 , Nodo 8 , 9.47232
9 , Nodo 9 , 3.86256
10 , Nodo 10 , 2.07363
11 , Nodo 11 , 2.07734
12 , Nodo 12 , 2.06158
13 , Nodo 13 , 2.0792
14 , Nodo 14 , 2.069
15 , Nodo 15 , 2.08013
16 , Nodo 16 , 2.09218
17 , Nodo 17 , 2.03376
18 , Nodo 18 , 2.07178
