IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 8.98162
2 , Nodo 2 , 8.68228
3 , Nodo 3 , 8.72306
4 , Nodo 4 , 8.62845
5 , Nodo 5 , 8.42373
6 , Nodo 6 , 8.41394
7 , Nodo 7 , 8.40579
8 , Nodo 8 , 8.24348
9 , Nodo 9 , 8.3854
10 , Nodo 10 , 4.94674
11 , Nodo 11 , 1.82781
12 , Nodo 12 , 1.82699
13 , Nodo 13 , 1.80252
14 , Nodo 14 , 1.8221
15 , Nodo 15 , 1.81394
16 , Nodo 16 , 1.82781
17 , Nodo 17 , 1.84004
18 , Nodo 18 , 1.78458
19 , Nodo 19 , 1.81802
20 , Nodo 20 , 1.80171
