IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 37.8005
2 , Nodo 2 , 37.3591
3 , Nodo 3 , 8.32756
4 , Nodo 4 , 8.22178
5 , Nodo 5 , 8.29108
