IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 53.9929
2 , Nodo 2 , 22.17
3 , Nodo 3 , 12.0257
4 , Nodo 4 , 11.8114
