IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 15.4665
2 , Nodo 2 , 15.2667
3 , Nodo 3 , 15.0626
4 , Nodo 4 , 15.0859
5 , Nodo 5 , 15.0567
6 , Nodo 6 , 4.37046
7 , Nodo 7 , 3.30738
8 , Nodo 8 , 3.28404
9 , Nodo 9 , 3.29133
10 , Nodo 10 , 3.25779
11 , Nodo 11 , 3.28113
12 , Nodo 12 , 3.26946
