IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 11.4087
2 , Nodo 2 , 11.3459
3 , Nodo 3 , 11.1264
4 , Nodo 4 , 11.0102
5 , Nodo 5 , 11.0134
6 , Nodo 6 , 10.9911
7 , Nodo 7 , 10.811
8 , Nodo 8 , 3.22295
9 , Nodo 9 , 2.39191
10 , Nodo 10 , 2.39404
11 , Nodo 11 , 2.3706
12 , Nodo 12 , 2.39511
13 , Nodo 13 , 2.38126
14 , Nodo 14 , 2.39191
15 , Nodo 15 , 2.40363
16 , Nodo 16 , 2.34184
