IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 13.1361
2 , Nodo 2 , 13.1645
3 , Nodo 3 , 12.7679
4 , Nodo 4 , 12.779
5 , Nodo 5 , 12.7568
6 , Nodo 6 , 12.7358
7 , Nodo 7 , 3.22441
8 , Nodo 8 , 2.79573
9 , Nodo 9 , 2.77349
10 , Nodo 10 , 2.78831
11 , Nodo 11 , 2.74878
12 , Nodo 12 , 2.77596
13 , Nodo 13 , 2.76484
14 , Nodo 14 , 2.78831
