IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 18.5721
2 , Nodo 2 , 18.1414
3 , Nodo 3 , 18.1029
4 , Nodo 4 , 18.1011
5 , Nodo 5 , 7.35845
6 , Nodo 6 , 3.9182
7 , Nodo 7 , 3.96022
8 , Nodo 8 , 3.96372
9 , Nodo 9 , 3.93396
10 , Nodo 10 , 3.94797
