IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 22.6682
2 , Nodo 2 , 22.2845
3 , Nodo 3 , 22.3211
4 , Nodo 4 , 13.2827
5 , Nodo 5 , 4.83283
6 , Nodo 6 , 4.90181
7 , Nodo 7 , 4.86732
8 , Nodo 8 , 4.84146
