IGNORAR,NODO,PORCENTAJE_DEL_DROP_TOTAL
1 , Nodo 1 , 28.4844
2 , Nodo 2 , 28.4021
3 , Nodo 3 , 18.206
4 , Nodo 4 , 6.28446
5 , Nodo 5 , 6.17199
6 , Nodo 6 , 6.22137
7 , Nodo 7 , 6.2296
